servers's processes start in 15:59:12
iteration 751::  49.1938 ms
iteration 752::  51.3352 ms
iteration 753::  49.4655 ms
iteration 754::  47.118 ms
iteration 755::  46.5935 ms
iteration 756::  51.7324 ms
iteration 757::  43.2449 ms
iteration 758::  50.9368 ms
iteration 759::  62.8443 ms
iteration 760::  50.9738 ms
iteration 761::  66.5317 ms
iteration 762::  59.3143 ms
iteration 763::  52.7088 ms
iteration 764::  46.7948 ms
iteration 765::  89.4732 ms
iteration 766::  53.2602 ms
iteration 767::  50.2956 ms
iteration 768::  50.2076 ms
iteration 769::  50.9692 ms
iteration 770::  50.9802 ms
iteration 771::  51.3085 ms
iteration 772::  50.5345 ms
iteration 773::  53.0043 ms
iteration 774::  50.8608 ms
iteration 775::  44.9496 ms
iteration 776::  48.413 ms
iteration 777::  53.8887 ms
iteration 778::  63.8319 ms
iteration 779::  51.5943 ms
iteration 780::  42.7699 ms
iteration 781::  42.991 ms
iteration 782::  46.2574 ms
iteration 783::  47.8221 ms
iteration 784::  55.3477 ms
iteration 785::  53.3681 ms
iteration 786::  44.4253 ms
iteration 787::  42.8196 ms
iteration 788::  46.0835 ms
iteration 789::  46.4317 ms
iteration 790::  51.1653 ms
iteration 791::  43.2052 ms
iteration 792::  44.2962 ms
iteration 793::  43.0201 ms
iteration 794::  56.9579 ms
iteration 795::  43.6437 ms
iteration 796::  47.6759 ms
iteration 797::  64.944 ms
iteration 798::  45.8422 ms
iteration 799::  42.8272 ms
iteration 800::  49.6728 ms
iteration 801::  43.9891 ms
iteration 802::  43.3469 ms
iteration 803::  42.4789 ms
iteration 804::  51.999 ms
iteration 805::  48.0316 ms
iteration 806::  43.707 ms
iteration 807::  49.6248 ms
iteration 808::  42.482 ms
iteration 809::  44.4736 ms
iteration 810::  43.8973 ms
iteration 811::  45.8336 ms
iteration 812::  45.588 ms
iteration 813::  44.5541 ms
iteration 814::  53.1315 ms
iteration 815::  42.701 ms
iteration 816::  43.2633 ms
iteration 817::  44.8425 ms
iteration 818::  50.9012 ms
iteration 819::  45.2518 ms
iteration 820::  45.5739 ms
iteration 821::  44.075 ms
iteration 822::  44.8454 ms
iteration 823::  44.6137 ms
iteration 824::  46.4069 ms
iteration 825::  52.378 ms
iteration 826::  47.8377 ms
iteration 827::  50.7831 ms
iteration 828::  46.3548 ms
iteration 829::  47.1873 ms
iteration 830::  52.6191 ms
iteration 831::  44.8855 ms
iteration 832::  51.7796 ms
iteration 833::  43.9295 ms
iteration 834::  45.5818 ms
iteration 835::  44.7512 ms
iteration 836::  46.9171 ms
iteration 837::  46.5088 ms
iteration 838::  52.7912 ms
iteration 839::  46.862 ms
iteration 840::  53.6851 ms
iteration 841::  73.1551 ms
iteration 842::  57.2017 ms
iteration 843::  90.2149 ms
iteration 844::  64.2338 ms
iteration 845::  55.4024 ms
iteration 846::  45.8053 ms
iteration 847::  45.2611 ms
iteration 848::  68.5972 ms
iteration 849::  64.4391 ms
iteration 850::  46.6555 ms
iteration 851::  47.7927 ms
iteration 852::  45.8808 ms
iteration 853::  45.7781 ms
iteration 854::  53.1355 ms
iteration 855::  41.5519 ms
iteration 856::  49.6488 ms
iteration 857::  42.6652 ms
iteration 858::  40.5388 ms
iteration 859::  51.4937 ms
iteration 860::  51.9512 ms
iteration 861::  59.1165 ms
iteration 862::  49.8186 ms
iteration 863::  48.1416 ms
iteration 864::  47.7658 ms
iteration 865::  45.8467 ms
iteration 866::  43.3733 ms
iteration 867::  43.2861 ms
iteration 868::  46.9854 ms
iteration 869::  52.829 ms
iteration 870::  44.1429 ms
iteration 871::  47.8954 ms
iteration 872::  54.671 ms
iteration 873::  65.1749 ms
iteration 874::  46.0762 ms
iteration 875::  64.0211 ms
iteration 876::  45.7317 ms
iteration 877::  45.0405 ms
iteration 878::  49.4278 ms
iteration 879::  55.9845 ms
iteration 880::  44.9225 ms
iteration 881::  48.7061 ms
iteration 882::  52.1757 ms
iteration 883::  65.5275 ms
iteration 884::  51.5353 ms
iteration 885::  63.1144 ms
iteration 886::  50.0485 ms
iteration 887::  42.1613 ms
iteration 888::  53.306 ms
iteration 889::  49.2254 ms
iteration 890::  47.0177 ms
iteration 891::  49.4504 ms
iteration 892::  45.2116 ms
iteration 893::  49.168 ms
iteration 894::  49.2012 ms
iteration 895::  73.8172 ms
iteration 896::  48.6034 ms
iteration 897::  46.965 ms
iteration 898::  53.5545 ms
iteration 899::  64.1673 ms
iteration 900::  50.0536 ms
iteration 901::  48.3101 ms
iteration 902::  46.4283 ms
iteration 903::  44.9884 ms
iteration 904::  47.9209 ms
iteration 905::  45.7004 ms
iteration 906::  87.0312 ms
iteration 907::  48.5427 ms
iteration 908::  43.0301 ms
iteration 909::  42.6018 ms
iteration 910::  43.112 ms
iteration 911::  41.8106 ms
iteration 912::  54.516 ms
iteration 913::  49.2784 ms
iteration 914::  49.3946 ms
iteration 915::  51.6984 ms
iteration 916::  50.0514 ms
iteration 917::  47.3837 ms
iteration 918::  46.2562 ms
iteration 919::  43.7215 ms
iteration 920::  47.0462 ms
iteration 921::  46.338 ms
iteration 922::  43.8001 ms
iteration 923::  42.1734 ms
iteration 924::  49.6364 ms
iteration 925::  52.7398 ms
iteration 926::  45.3476 ms
iteration 927::  41.7003 ms
iteration 928::  41.1625 ms
iteration 929::  41.4759 ms
iteration 930::  60.9779 ms
iteration 931::  43.0758 ms
iteration 932::  43.6403 ms
iteration 933::  41.5345 ms
iteration 934::  41.2128 ms
iteration 935::  54.9616 ms
iteration 936::  41.6763 ms
iteration 937::  47.4652 ms
iteration 938::  46.0289 ms
iteration 939::  42.4869 ms
iteration 940::  42.2954 ms
iteration 941::  49.3124 ms
iteration 942::  44.5949 ms
iteration 943::  40.6346 ms
iteration 944::  43.5431 ms
iteration 945::  43.8116 ms
iteration 946::  45.2445 ms
iteration 947::  42.2052 ms
iteration 948::  41.4156 ms
iteration 949::  45.4938 ms
iteration 950::  45.8386 ms
iteration 951::  45.0886 ms
